Paid At일	측정값 이름	측정값
2022년 12월 4일	Old	861,800.00
2022년 12월 5일	Old	1,952,900.00
2022년 12월 6일	Old	3,651,725.00
2022년 12월 7일	Old	3,148,500.00
2022년 12월 8일	Old	1,892,000.00
2022년 12월 9일	Old	1,395,500.00
2022년 12월 10일	Old	947,770.00
2022년 12월 11일	Old	1,067,500.00
2022년 12월 12일	Old	2,125,000.00
2022년 12월 13일	Old	2,424,316.00
2022년 12월 14일	Old	3,523,000.00
2022년 12월 15일	Old	1,655,800.00
2022년 12월 16일	Old	4,138,480.00
2022년 12월 17일	Old	193,000.00
2022년 12월 18일	Old	1,044,160.00
2022년 12월 19일	Old	1,744,700.00
2022년 12월 20일	Old	2,637,600.00
2022년 12월 21일	Old	1,957,400.00
2022년 12월 22일	Old	1,556,500.00
2022년 12월 23일	Old	1,013,730.00
2022년 12월 24일	Old	374,300.00
2022년 12월 25일	Old	1,185,000.00
2022년 12월 26일	Old	1,628,200.00
2022년 12월 27일	Old	1,243,300.00
2022년 12월 28일	Old	2,538,600.00
2022년 12월 29일	Old	3,441,275.00
2022년 12월 30일	Old	1,722,950.00
2022년 12월 31일	Old	1,850,100.00
2023년 1월 1일	Old	1,185,500.00
2023년 1월 2일	Old	2,972,400.00
2023년 1월 3일	Old	3,204,500.00
2023년 1월 4일	Old	2,603,670.00
2023년 1월 5일	Old	1,385,000.00
2023년 1월 6일	Old	1,489,400.00
2023년 1월 7일	Old	199,500.00
2023년 1월 8일	Old	870,000.00
2023년 1월 9일	Old	3,259,600.00
2023년 1월 10일	Old	3,108,600.00
2023년 1월 11일	Old	1,828,800.00
2023년 1월 12일	Old	1,517,938.00
2023년 1월 13일	Old	1,030,530.00
2023년 1월 14일	Old	1,285,100.00
2023년 1월 15일	Old	1,280,500.00
2023년 1월 16일	Old	1,848,500.00
2023년 1월 17일	Old	2,934,100.00
2023년 1월 18일	Old	1,620,100.00
2023년 1월 19일	Old	944,500.00
2023년 1월 20일	Old	843,638.00
2023년 1월 21일	Old	22,000.00
2023년 1월 22일	Old	413,000.00
2023년 1월 23일	Old	544,500.00
2023년 1월 24일	Old	889,500.00
2023년 1월 25일	Old	1,201,500.00
2023년 1월 26일	Old	1,618,100.00
2023년 1월 27일	Old	706,000.00
2023년 1월 28일	Old	1,029,000.00
2023년 1월 29일	Old	2,376,800.00
2023년 1월 30일	Old	3,784,300.00
2023년 1월 31일	Old	2,705,600.00
2023년 2월 1일	Old	2,101,600.00
2023년 2월 2일	Old	1,637,525.00
2023년 2월 3일	Old	3,075,925.00
2023년 2월 4일	Old	1,940,000.00
